Date,Level
01-01-69,-209.17
02-01-69,-209.21
03-01-69,-209.22
04-01-69,-209.25
05-01-69,-209.27
06-01-69,-209.28
07-01-69,-209.2
08-01-69,-209.16
09-01-69,-209.14
10-01-69,-209.13
11-01-69,-209.14
12-01-69,-209.15
13-01-69,-209.16
14-01-69,-209.14
15-01-69,-209.14
16-01-69,-209.15
17-01-69,-209.16
18-01-69,-209.18
19-01-69,-209.19
20-01-69,-209.21
21-01-69,-209.15
22-01-69,-209.05
23-01-69,-208.69
24-01-69,-208.55
25-01-69,-208.47
26-01-69,-208.42
27-01-69,-208.37
28-01-69,-208.36
29-01-69,-208.32
30-01-69,-208.3
31-01-69,-208.31
01-02-69,-208.33
02-02-69,-208.34
03-02-69,-208.35
04-02-69,-208.38
05-02-69,-208.42
06-02-69,-208.45
07-02-69,-208.49
08-02-69,-208.51
09-02-69,-208.52
10-02-69,-208.55
11-02-69,-208.57
12-02-69,-208.62
13-02-69,-208.66
14-02-69,-208.69
15-02-69,-208.72
16-02-69,-208.76
17-02-69,-208.81
18-02-69,-208.85
19-02-69,-208.88
20-02-69,-208.91
21-02-69,-208.91
22-02-69,-208.91
23-02-69,-208.91
24-02-69,-208.91
25-02-69,-208.92
26-02-69,-208.92
27-02-69,-208.91
28-02-69,-208.91
01-03-69,-208.91
02-03-69,-208.91
03-03-69,-208.91
04-03-69,-208.9
05-03-69,-208.9
06-03-69,-208.9
07-03-69,-208.9
08-03-69,-208.89
09-03-69,-208.89
10-03-69,-208.89
11-03-69,-208.9
12-03-69,-208.91
13-03-69,-208.92
14-03-69,-208.93
15-03-69,-208.92
16-03-69,-208.92
17-03-69,-208.92
18-03-69,-208.92
19-03-69,-208.92
20-03-69,-208.91
21-03-69,-208.87
22-03-69,-208.83
23-03-69,-208.76
24-03-69,-208.7
25-03-69,-208.68
26-03-69,-208.71
27-03-69,-208.73
28-03-69,-208.74
29-03-69,-208.76
30-03-69,-208.78
31-03-69,-208.81
01-04-69,-208.85
02-04-69,-208.87
03-04-69,-208.9
04-04-69,-208.92
05-04-69,-208.92
06-04-69,-208.93
07-04-69,-208.93
08-04-69,-208.93
09-04-69,-208.94
10-04-69,-208.94
11-04-69,-208.94
12-04-69,-208.94
13-04-69,-208.95
14-04-69,-208.95
15-04-69,-208.95
16-04-69,-208.95
17-04-69,-208.95
18-04-69,-208.94
19-04-69,-208.93
20-04-69,-208.92
21-04-69,-208.92
22-04-69,-208.91
23-04-69,-208.9
24-04-69,-208.89
25-04-69,-208.88
26-04-69,-208.88
27-04-69,-208.88
28-04-69,-208.88
29-04-69,-208.89
30-04-69,-208.89
01-05-69,-208.9
02-05-69,-208.9
03-05-69,-208.9
04-05-69,-208.91
05-05-69,-208.91
06-05-69,-208.91
07-05-69,-208.92
08-05-69,-208.92
09-05-69,-208.91
10-05-69,-208.92
11-05-69,-208.92
12-05-69,-208.92
13-05-69,-208.92
14-05-69,-208.92
15-05-69,-208.93
16-05-69,-208.93
17-05-69,-208.93
18-05-69,-208.94
19-05-69,-208.94
20-05-69,-208.93
21-05-69,-208.93
22-05-69,-208.94
23-05-69,-208.94
24-05-69,-208.94
25-05-69,-208.94
26-05-69,-208.95
27-05-69,-208.96
28-05-69,-208.96
29-05-69,-208.96
30-05-69,-208.95
31-05-69,-208.95
01-06-69,-208.94
02-06-69,-208.94
03-06-69,-208.93
04-06-69,-208.93
05-06-69,-208.93
06-06-69,-208.93
07-06-69,-208.93
08-06-69,-208.93
09-06-69,-208.93
10-06-69,-208.93
11-06-69,-208.93
12-06-69,-208.93
13-06-69,-208.94
14-06-69,-208.94
15-06-69,-208.93
16-06-69,-208.93
17-06-69,-208.93
18-06-69,-208.93
19-06-69,-208.93
20-06-69,-208.93
21-06-69,-208.93
22-06-69,-208.93
23-06-69,-208.93
24-06-69,-208.93
25-06-69,-208.92
26-06-69,-208.92
27-06-69,-208.92
28-06-69,-208.92
29-06-69,-208.93
30-06-69,-208.93
01-07-69,-208.94
02-07-69,-208.94
03-07-69,-208.94
04-07-69,-208.94
05-07-69,-208.95
06-07-69,-208.95
07-07-69,-208.96
08-07-69,-208.96
09-07-69,-208.96
10-07-69,-208.96
11-07-69,-208.97
12-07-69,-208.97
13-07-69,-208.98
14-07-69,-208.98
15-07-69,-208.99
16-07-69,-209
17-07-69,-209.01
18-07-69,-209.01
19-07-69,-209.02
20-07-69,-209.03
21-07-69,-209.03
22-07-69,-209.04
23-07-69,-209.04
24-07-69,-209.05
25-07-69,-209.06
26-07-69,-209.06
27-07-69,-209.07
28-07-69,-209.09
29-07-69,-209.1
30-07-69,-209.11
31-07-69,-209.11
01-08-69,-209.12
02-08-69,-209.12
03-08-69,-209.13
04-08-69,-209.13
05-08-69,-209.14
06-08-69,-209.14
07-08-69,-209.15
08-08-69,-209.16
09-08-69,-209.16
10-08-69,-209.17
11-08-69,-209.17
12-08-69,-209.18
13-08-69,-209.19
14-08-69,-209.2
15-08-69,-209.21
16-08-69,-209.22
17-08-69,-209.22
18-08-69,-209.23
19-08-69,-209.23
20-08-69,-209.24
21-08-69,-209.24
22-08-69,-209.25
23-08-69,-209.25
24-08-69,-209.26
25-08-69,-209.26
26-08-69,-209.26
27-08-69,-209.27
28-08-69,-209.27
29-08-69,-209.28
30-08-69,-209.28
31-08-69,-209.29
01-09-69,-209.29
02-09-69,-209.29
03-09-69,-209.29
04-09-69,-209.29
05-09-69,-209.29
06-09-69,-209.3
07-09-69,-209.3
08-09-69,-209.3
09-09-69,-209.3
10-09-69,-209.31
11-09-69,-209.31
12-09-69,-209.32
13-09-69,-209.32
14-09-69,-209.33
15-09-69,-209.34
16-09-69,-209.34
17-09-69,-209.35
18-09-69,-209.35
19-09-69,-209.36
20-09-69,-209.36
21-09-69,-209.37
22-09-69,-209.37
23-09-69,-209.37
24-09-69,-209.38
25-09-69,-209.38
26-09-69,-209.39
27-09-69,-209.39
28-09-69,-209.4
29-09-69,-209.4
30-09-69,-209.41
01-10-69,-209.41
02-10-69,-209.42
03-10-69,-209.42
04-10-69,-209.43
05-10-69,-209.43
06-10-69,-209.44
07-10-69,-209.45
08-10-69,-209.47
09-10-69,-209.47
10-10-69,-209.48
11-10-69,-209.48
12-10-69,-209.49
13-10-69,-209.49
14-10-69,-209.49
15-10-69,-209.49
16-10-69,-209.5
17-10-69,-209.51
18-10-69,-209.51
19-10-69,-209.52
20-10-69,-209.52
21-10-69,-209.5
22-10-69,-209.5
23-10-69,-209.49
24-10-69,-209.49
25-10-69,-209.49
26-10-69,-209.49
27-10-69,-209.49
28-10-69,-209.49
29-10-69,-209.49
30-10-69,-209.49
31-10-69,-209.5
01-11-69,-209.51
02-11-69,-209.51
03-11-69,-209.51
04-11-69,-209.51
05-11-69,-209.51
06-11-69,-209.51
07-11-69,-209.51
08-11-69,-209.51
09-11-69,-209.51
10-11-69,-209.5
11-11-69,-209.5
12-11-69,-209.5
13-11-69,-209.5
14-11-69,-209.51
15-11-69,-209.51
16-11-69,-209.51
17-11-69,-209.51
18-11-69,-209.51
19-11-69,-209.51
20-11-69,-209.51
21-11-69,-209.51
22-11-69,-209.51
23-11-69,-209.52
24-11-69,-209.52
25-11-69,-209.53
26-11-69,-209.53
27-11-69,-209.53
28-11-69,-209.54
29-11-69,-209.53
30-11-69,-209.52
01-12-69,-209.52
02-12-69,-209.52
03-12-69,-209.52
04-12-69,-209.52
05-12-69,-209.52
06-12-69,-209.52
07-12-69,-209.52
08-12-69,-209.52
09-12-69,-209.52
10-12-69,-209.52
11-12-69,-209.52
12-12-69,-209.52
13-12-69,-209.52
14-12-69,-209.52
15-12-69,-209.52
16-12-69,-209.52
17-12-69,-209.52
18-12-69,-209.52
19-12-69,-209.52
20-12-69,-209.53
21-12-69,-209.53
22-12-69,-209.53
23-12-69,-209.53
24-12-69,-209.53
25-12-69,-209.52
26-12-69,-209.52
27-12-69,-209.52
28-12-69,-209.52
29-12-69,-209.52
30-12-69,-209.51
31-12-69,-209.5
01-01-70,-209.49
02-01-70,-209.49
03-01-70,-209.49
04-01-70,-209.49
05-01-70,-209.48
06-01-70,-209.48
07-01-70,-209.48
08-01-70,-209.47
09-01-70,-209.47
10-01-70,-209.47
11-01-70,-209.46
12-01-70,-209.46
13-01-70,-209.46
14-01-70,-209.46
15-01-70,-209.46
16-01-70,-209.45
17-01-70,-209.45
18-01-70,-209.45
19-01-70,-209.45
20-01-70,-209.44
21-01-70,-209.44
22-01-70,-209.4
23-01-70,-209.33
24-01-70,-209.24
25-01-70,-209.17
26-01-70,-209.15
27-01-70,-209.14
28-01-70,-209.17
29-01-70,-209.2
30-01-70,-209.23
31-01-70,-209.26
01-02-70,-209.3
02-02-70,-209.33
03-02-70,-209.35
04-02-70,-209.37
05-02-70,-209.37
06-02-70,-209.37
07-02-70,-209.37
08-02-70,-209.36
09-02-70,-209.36
10-02-70,-209.36
11-02-70,-209.36
12-02-70,-209.35
13-02-70,-209.34
14-02-70,-209.34
15-02-70,-209.34
16-02-70,-209.34
17-02-70,-209.33
18-02-70,-209.33
19-02-70,-209.33
20-02-70,-209.33
21-02-70,-209.33
22-02-70,-209.32
23-02-70,-209.3
24-02-70,-209.27
25-02-70,-209.26
26-02-70,-209.25
27-02-70,-209.24
28-02-70,-209.23
01-03-70,-209.23
02-03-70,-209.22
03-03-70,-209.21
04-03-70,-209.2
05-03-70,-209.19
06-03-70,-209.18
07-03-70,-209.16
08-03-70,-209.16
09-03-70,-209.15
10-03-70,-209.12
11-03-70,-209.03
12-03-70,-208.96
13-03-70,-208.95
14-03-70,-208.95
15-03-70,-208.96
16-03-70,-208.97
17-03-70,-208.99
18-03-70,-209.02
19-03-70,-209.03
20-03-70,-209.04
21-03-70,-209.04
22-03-70,-209.03
23-03-70,-208.99
24-03-70,-208.98
25-03-70,-208.99
26-03-70,-208.99
27-03-70,-208.98
28-03-70,-208.98
29-03-70,-208.98
30-03-70,-208.98
31-03-70,-208.97
01-04-70,-208.97
02-04-70,-208.97
03-04-70,-208.97
04-04-70,-208.96
05-04-70,-208.96
06-04-70,-208.95
07-04-70,-208.95
08-04-70,-208.95
09-04-70,-208.94
10-04-70,-208.94
11-04-70,-208.93
12-04-70,-208.92
13-04-70,-208.91
14-04-70,-208.9
15-04-70,-208.9
16-04-70,-208.9
17-04-70,-208.91
18-04-70,-208.91
19-04-70,-208.91
20-04-70,-208.9
21-04-70,-208.89
22-04-70,-208.89
23-04-70,-208.89
24-04-70,-208.89
25-04-70,-208.89
26-04-70,-208.89
27-04-70,-208.9
28-04-70,-208.9
29-04-70,-208.9
30-04-70,-208.9
01-05-70,-208.9
02-05-70,-208.9
03-05-70,-208.9
04-05-70,-208.91
05-05-70,-208.91
06-05-70,-208.91
07-05-70,-208.91
08-05-70,-208.91
09-05-70,-208.91
10-05-70,-208.92
11-05-70,-208.92
12-05-70,-208.92
13-05-70,-208.92
14-05-70,-208.92
